auction_date,settlement_date,maturity_date,residual_maturity_yrs,prov_isin,fungible_isin,bond_name,coupon_pct,total_bids_chf_mn,bids_no_price_chf_mn,issue_volume_chf_mn,bid_cover,price,yield_pct,own_holdings_not_placed_chf_mn
2010-11-10,2011-01-05,2027-06-27,16.63,CH0119765805,CH0031835561,Eidg. 27.06.07/27,3.25,827.5,6.3,625.5,1.3229,121.8,1.719046,0
2010-12-08,2011-01-05,2021-04-28,10.39,CH0121040163,CH0111999816,Eidg. 28.04.10/21,2.0,907.6,6.85,729.1,1.2448,102.35,1.748608,0
2011-01-12,2011-01-26,2020-07-06,9.48,CH0122599456,CH0021908907,Eidg. 06.07.05/20,2.25,977.51,9.85,431.51,2.2653,104.65,1.712031,0
2011-02-10,2011-02-23,2021-04-28,10.21,CH0124497717,CH0111999816,Eidg. 28.04.10/21,2.0,506.9,11.5,334.9,1.5136,100.4,1.955972,0
2011-02-10,2011-02-23,2033-04-08,22.16,CH0124497725,CH0015803239,Eidg. 08.04.03/33,3.5,751.64,5.0,427.64,1.7576,122.05,2.226735,300
2011-03-09,2011-03-23,2036-03-08,25.0,CH0126177143,CH0024524966,Eidg. 08.03.06/36,2.5,474.63,7.07,465.63,1.0193,105.75,2.198151,0
2011-04-13,2011-04-28,2021-04-28,10.04,CH0127181003,CH0111999816,Eidg. 28.04.10/21,2.0,798.4,2.0,313.7,2.5451,98.85,2.12889,0
2011-05-11,2011-05-25,2022-05-25,11.04,CH0127181011,-,Eidg. 25.05.11/22,2.0,830.125,13.2,530.625,1.5644,100.1,1.989788,300
2011-06-08,2011-06-22,2031-06-22,20.04,CH0127181029,-,Eidg. 22.06.11/31,2.25,1165.935,23.815,477.535,2.4416,102.5,2.095693,300
2011-07-13,2011-07-27,2022-05-25,10.87,CH0127181037,CH0127181011,Eidg. 25.05.11/22,2.0,888.87,51.4,434.37,2.0463,103.9,1.604517,0
2011-09-14,2011-09-28,2022-05-25,10.69,CH0127181045,CH0127181011,Eidg. 25.05.11/22,2.0,377.4,25.0,210.4,1.7937,109.5,1.052821,0
2011-09-14,2011-09-28,2049-01-06,37.31,CH0127181052,CH0009755197,Eidg. 06.01.99/49,4.0,130.37,16.37,106.57,1.2233,168.5,1.561594,300
2011-10-12,2011-10-26,2031-06-22,19.69,CH0127181060,CH0127181029,Eidg. 22.06.11/31,2.25,248.43,12.93,165.93,1.4972,115.5,1.346962,0
