isin,bond_name,maturity_date,coupon_pct,total_issued_incl_own_chf_mn,total_placed_on_market_chf_mn,own_holdings_placed_chf_mn,own_holdings_available_chf_mn,snapshot_date
CH0224396983,Eidg. 28.05.14/26,2026-05-28,1.25,3803.4800000000005,3478.4800000000005,275.0,325.0,2026-03-31
CH0031835561,Eidg. 27.06.07/27,2027-06-27,3.25,3080.515,2865.515,385.0,215.0,2026-03-31
CH0008680370,Eidg. 08.04.98/28,2028-04-08,4.0,5612.455,5612.455,2600.0,0.0,2026-03-31
CH0224397346,Eidg. 22.06.16/29,2029-06-22,0.0,4992.375,4612.375,220.0,380.0,2026-03-31
CH0224397171,Eidg. 27.05.15/30,2030-05-27,0.5,4049.987,3749.9870000000005,0.0,299.99999999999955,2026-03-31
CH0127181029,Eidg. 22.06.11/31,2031-06-22,2.25,3524.465,3342.4649999999997,118.0,182.00000000000045,2026-03-31
CH0344958688,Eidg. 27.06.18/32,2032-06-27,0.5,4010.58,3740.58,30.0,270.0,2026-03-31
CH0015803239,Eidg. 08.04.03/33,2033-04-08,3.5,4703.86,4403.86,1200.0,300.0,2026-03-31
CH0440081393,Eidg. 26.06.19/34,2034-06-26,0.0,3907.433,3697.433,90.0,210.0,2026-03-31
CH0557778310,Eidg. 23.06.21/35,2035-06-23,0.25,3233.1749999999997,3037.1749999999997,104.0,196.0,2026-03-31
CH0024524966,Eidg. 08.03.06/36,2036-03-08,2.5,4571.740000000001,4156.74,1085.0,415.0000000000009,2026-03-31
CH0127181193,Eidg. 27.06.12/37,2037-06-27,1.25,4574.273999999999,4159.273999999999,485.0,415.0,2026-03-31
CH0440081567,Eidg. 26.10.22/38,2038-10-26,1.5,2658.8,2108.8,50.0,550.0,2026-03-31
CH0440081401,Eidg. 24.07.19/39,2039-07-24,0.0,3298.6749999999997,3018.6749999999997,20.0,280.0,2026-03-31
CH0557779235,Eidg. 28.05.25/40,2040-05-28,0.5,958.6550000000001,658.655,0.0,300.0000000000001,2026-03-31
CH0127181169,Eidg. 30.04.12/42,2042-04-30,1.5,4584.135,4404.135,420.0,180.0,2026-03-31
CH0557778815,Eidg. 28.06.23/43,2043-06-28,1.25,2602.7650000000003,2302.7650000000003,0.0,300.0,2026-03-31
CH0344958498,Eidg. 28.06.17/45,2045-06-28,0.5,4119.700000000001,3639.7000000000003,120.0,480.00000000000045,2026-03-31
CH0557779003,Eidg. 22.05.24/47,2047-05-22,0.875,1603.201,1303.201,0.0,300.0,2026-03-31
CH0009755197,Eidg. 06.01.99/49,2049-01-06,4.0,2897.78,2677.79,580.01,219.99000000000024,2026-03-31
CH0344958472,Eidg. 24.05.17/55,2055-05-24,0.5,3153.77,2683.77,130.0,470.0,2026-03-31
CH0224397338,Eidg. 30.05.16/58,2058-05-30,0.5,2800.19,2555.19,55.0,245.0,2026-03-31
CH0224397007,Eidg. 25.06.14/64,2064-06-25,2.0,3579.555,3190.555,811.0,389.0,2026-03-31
