date,opening_chf_mn,n_opening,closing_chf_mn,n_closing,net_chf_mn,bills_opening_chf_mn,bills_closing_chf_mn,bills_net_chf_mn,gmbf_opening_chf_mn,gmbf_closing_chf_mn,gmbf_net_chf_mn,bonds_opening_chf_mn,bonds_closing_chf_mn,bonds_net_chf_mn
2011-01-05,1354.6,2,0.0,0,1354.6,,,0.0,,,0.0,1354.6,,1354.6
2011-01-26,431.51,1,0.0,0,431.51,,,0.0,,,0.0,431.51,,431.51
2011-02-23,762.54,2,0.0,0,762.54,,,0.0,,,0.0,762.54,,762.54
2011-03-23,465.63,1,0.0,0,465.63,,,0.0,,,0.0,465.63,,465.63
2011-04-28,313.7,1,0.0,0,313.7,,,0.0,,,0.0,313.7,,313.7
2011-05-25,530.625,1,0.0,0,530.625,,,0.0,,,0.0,530.625,,530.625
2011-06-22,477.535,1,0.0,0,477.535,,,0.0,,,0.0,477.535,,477.535
2011-07-27,434.37,1,0.0,0,434.37,,,0.0,,,0.0,434.37,,434.37
2011-09-28,316.97,2,0.0,0,316.97,,,0.0,,,0.0,316.97,,316.97
2011-10-26,165.93,1,0.0,0,165.93,,,0.0,,,0.0,165.93,,165.93
2012-01-05,1603.492,4,0.0,0,1603.492,,,0.0,725.55,,725.55,877.942,,877.942
2012-01-12,512.75,1,0.0,0,512.75,,,0.0,512.75,,512.75,,,0.0
2012-01-19,561.7,1,0.0,0,561.7,,,0.0,561.7,,561.7,,,0.0
2012-01-25,150.0,1,0.0,0,150.0,,,0.0,,,0.0,150.0,,150.0
2012-01-26,1004.65,1,0.0,0,1004.65,,,0.0,1004.65,,1004.65,,,0.0
2012-02-02,1160.9,1,0.0,0,1160.9,,,0.0,1160.9,,1160.9,,,0.0
2012-02-09,1414.15,1,0.0,0,1414.15,,,0.0,1414.15,,1414.15,,,0.0
2012-02-16,1142.8,1,0.0,0,1142.8,,,0.0,1142.8,,1142.8,,,0.0
2012-02-22,1101.55,2,0.0,0,1101.55,,,0.0,,,0.0,1101.55,,1101.55
2012-02-23,2512.0,1,0.0,0,2512.0,,,0.0,2512.0,,2512.0,,,0.0
