date,snb_bills_outstanding_chf_mn,repo_claims_chf_mn,sight_deposits_chf_mn,total_assets_chf_mn,banknotes_chf_mn,reverse_repo_liabilities_chf_mn,date_str,total_liq_absorption_chf_mn
1996-12-31,,,32447.6,72526.1,1813.8,,1996-12,0.0
1997-01-31,,,29656.0,68322.2,1101.8,,1997-01,0.0
1997-02-28,,,29508.4,68351.1,1104.5,,1997-02,0.0
1997-03-31,,,29986.4,71261.3,1122.6,,1997-03,0.0
1997-04-30,,,29273.2,69906.8,1472.7,,1997-04,0.0
1997-05-31,,,29318.6,71615.9,1130.3,,1997-05,0.0
1997-06-30,,,29437.8,71110.4,1202.0,,1997-06,0.0
1997-07-31,,,29029.0,70276.1,1169.2,,1997-07,0.0
1997-08-31,,,28907.8,69819.3,1138.2,,1997-08,0.0
1997-09-30,,,28793.1,70676.2,1148.6,,1997-09,0.0
1997-10-31,,,29142.0,70428.8,1147.8,,1997-10,0.0
1997-11-30,,,29476.9,70488.0,1137.1,,1997-11,0.0
1997-12-31,,,32141.8,75904.5,1164.7,,1997-12,0.0
1998-01-31,,,29835.8,72469.9,1206.0,,1998-01,0.0
1998-02-28,,,29641.1,72152.2,1201.9,,1998-02,0.0
1998-03-31,,,29601.4,73366.0,1187.6,,1998-03,0.0
1998-04-30,,5230.4,29901.7,75127.4,1193.0,0.0,1998-04,0.0
1998-05-31,,8193.7,29892.7,78909.9,1700.2,0.0,1998-05,0.0
1998-06-30,,8117.6,30000.6,80026.3,1223.8,0.0,1998-06,0.0
1998-07-31,,10557.7,29740.3,81542.8,1173.9,0.0,1998-07,0.0
1998-08-31,,10542.6,29584.4,81725.5,1176.3,0.0,1998-08,0.0
1998-09-30,,12333.0,29691.5,81100.5,1846.7,0.0,1998-09,0.0
1998-10-31,,14268.1,29832.0,85772.9,1216.0,0.0,1998-10,0.0
1998-11-30,,15507.3,30333.7,87552.0,1213.0,0.3,1998-11,0.3
1998-12-31,,17348.3,33218.8,92860.7,1158.1,0.0,1998-12,0.0
1999-01-31,,15778.4,30916.2,88349.3,1206.0,0.0,1999-01,0.0
1999-02-28,,15440.7,30604.5,86509.3,1249.8,0.0,1999-02,0.0
1999-03-31,,15110.9,31386.3,88255.4,1507.3,0.0,1999-03,0.0
1999-04-30,,16942.7,30936.4,89016.3,1200.1,0.0,1999-04,0.0
