auction_date,isin,denomination_chf,issuance_type,term_days,payment_date,redemption_date,auction_type,marginal_price_pct,yield_pct,bids_chf_mn,allotment_chf_mn,allot_issuer_chf_mn,outstanding_chf_mn,term_bucket
2026-04-09,CH1478192631,1000000,N,28,2026-04-13,2026-05-11,"VR, A",100.0054,-0.069,,,,,28d
2026-04-09,CH1478192649,1000000,N,168,2026-04-13,2026-09-28,"VR, A",100.019,-0.041,,,,,168d
2026-04-02,CH1478192615,1000000,N,27,2026-04-07,2026-05-04,"VR, A",100.0051,-0.068,,,,,28d
2026-04-02,CH1478192623,1000000,N,83,2026-04-07,2026-06-29,"VR, A",100.012,-0.052,,,,,84d
2026-03-26,CH1478192599,1000000,N,28,2026-03-30,2026-04-27,"VR, A",100.0052,-0.067,,,,,28d
2026-03-26,CH1478192607,1000000,N,336,2026-03-30,2027-03-01,"VR, A",99.902,0.105,,,,,336d
2026-03-19,CH1478192573,1000000,N,28,2026-03-23,2026-04-20,"VR, A",100.0051,-0.066,,,,,28d
2026-03-19,CH1478192581,1000000,N,84,2026-03-23,2026-06-15,"VR, A",100.015,-0.064,,,,,84d
2026-03-12,CH1478192557,1000000,N,28,2026-03-16,2026-04-13,"VR, A",100.0052,-0.067,,,,,28d
2026-03-12,CH1478192565,1000000,N,168,2026-03-16,2026-08-31,"VR, A",100.021,-0.045,,,,,168d
2026-03-05,CH1478192532,1000000,N,29,2026-03-09,2026-04-07,"VR, A",100.0052,-0.065,,,,,28d
2026-03-05,CH1478192540,1000000,N,84,2026-03-09,2026-06-01,"VR, A",100.016,-0.069,,,,,84d
2026-02-26,CH1478192516,1000000,N,28,2026-03-02,2026-03-30,"VR, A",100.0049,-0.063,12176.0,10866.0,0.0,10866.0,28d
2026-02-26,CH1478192524,1000000,N,336,2026-03-02,2027-02-01,"VR, A",100.089,-0.095,295.0,45.0,0.0,45.0,336d
2026-02-19,CH1478192508,1000000,N,84,2026-02-23,2026-05-18,"VR, A",100.015,-0.064,4173.0,1663.0,0.0,1663.0,84d
2026-02-19,CH1478192490,1000000,N,28,2026-02-23,2026-03-23,"VR, A",100.0046,-0.059,17394.0,17184.0,2.0,17186.0,28d
2026-02-12,CH1478192474,1000000,N,28,2026-02-16,2026-03-16,"VR, A",100.0048,-0.062,16519.0,15219.0,0.0,15219.0,28d
2026-02-12,CH1478192482,1000000,N,168,2026-02-16,2026-08-03,"VR, A",100.043,-0.092,1964.0,315.0,10000.0,10315.0,168d
2026-02-05,CH1478192458,1000000,N,28,2026-02-09,2026-03-09,"VR, A",100.0047,-0.06,17787.0,16882.0,0.0,16882.0,28d
2026-02-05,CH1478192466,1000000,N,84,2026-02-09,2026-05-04,"VR, A",100.015,-0.064,4606.0,806.0,0.0,806.0,84d
2026-01-29,CH1478192433,1000000,N,28,2026-02-02,2026-03-02,"VR, A",100.0052,-0.067,16693.0,12103.0,0.0,12103.0,28d
2026-01-29,CH1478192441,1000000,N,336,2026-02-02,2027-01-04,"VR, A",100.087,-0.093,2850.0,500.0,5000.0,5500.0,336d
2026-01-22,CH1478192417,1000000,N,28,2026-01-26,2026-02-23,"VR, A",100.0047,-0.06,15886.0,15396.0,5000.0,20396.0,28d
2026-01-22,CH1478192425,1000000,N,84,2026-01-26,2026-04-20,"VR, A",100.013,-0.056,2800.0,1970.0,0.0,1970.0,84d
2026-01-15,CH1478192391,1000000,N,28,2026-01-19,2026-02-16,"VR, A",100.005,-0.064,16908.0,13541.0,0.0,13541.0,28d
2026-01-15,CH1478192409,1000000,N,168,2026-01-19,2026-07-06,"VR, A",100.03,-0.064,2145.0,735.0,10000.0,10735.0,168d
2026-01-08,CH1478192383,1000000,N,85,2026-01-12,2026-04-07,"VR, A",100.012,-0.051,1879.0,1659.0,0.0,1659.0,84d
2026-01-08,CH1478192375,1000000,N,28,2026-01-12,2026-02-09,"VR, A",100.0046,-0.059,14803.0,14078.0,0.0,14078.0,28d
2025-12-31,CH1478192359,1000000,N,28,2026-01-05,2026-02-02,"VR, A",100.007,-0.09,3011.0,2226.0,0.0,2226.0,28d
2025-12-31,CH1478192367,1000000,N,336,2026-01-05,2026-12-07,"VR, A",100.025,-0.027,500.0,300.0,5000.0,5300.0,336d
2025-12-24,CH1478192334,1000000,N,28,2025-12-29,2026-01-26,"VR, A",100.0078,-0.1,10890.0,7517.0,0.0,7517.0,28d
2025-12-24,CH1478192342,1000000,N,84,2025-12-29,2026-03-23,"VR, A",100.016,-0.069,1430.0,1330.0,0.0,1330.0,84d
2025-12-18,CH1310847319,1000000,N,28,2025-12-22,2026-01-19,"VR, A",100.0062,-0.08,18896.0,15901.0,0.0,15901.0,28d
2025-12-18,CH1478192326,1000000,N,168,2025-12-22,2026-06-08,"VR, A",100.028,-0.06,670.0,485.0,10000.0,10485.0,168d
2025-12-11,CH1310847293,1000000,N,28,2025-12-15,2026-01-12,"VR, A",100.0058,-0.075,18936.0,12937.0,0.0,12937.0,28d
2025-12-11,CH1310847301,1000000,N,84,2025-12-15,2026-03-09,"VR, A",100.016,-0.069,638.0,310.0,0.0,310.0,84d
2025-12-04,CH1310847277,1000000,N,28,2025-12-08,2026-01-05,"VR, A",100.0054,-0.069,15788.0,12638.0,0.0,12638.0,28d
2025-12-04,CH1310847285,1000000,N,336,2025-12-08,2026-11-09,"VR, A",100.075,-0.08,130.0,80.0,5000.0,5080.0,336d
2025-11-27,CH1310847269,1000000,N,84,2025-12-01,2026-02-23,"VR, A",100.016,-0.069,9613.0,8948.0,0.0,8948.0,84d
2025-11-27,CH1310847251,1000000,N,28,2025-12-01,2025-12-29,"VR, A",100.0046,-0.059,7302.0,6504.0,0.0,6504.0,28d
2025-11-20,CH1310847236,1000000,N,28,2025-11-24,2025-12-22,"VR, A",100.0044,-0.057,11110.0,10980.0,0.0,10980.0,28d
2025-11-20,CH1310847244,1000000,N,168,2025-11-24,2026-05-11,"VR, A",100.03,-0.064,4815.0,2855.0,10000.0,12855.0,168d
2025-11-13,CH1310847210,1000000,N,28,2025-11-17,2025-12-15,"VR, A",100.0044,-0.057,8122.0,7432.0,0.0,7432.0,28d
2025-11-13,CH1310847228,1000000,N,84,2025-11-17,2026-02-09,"VR, A",100.016,-0.069,10373.0,8108.0,0.0,8108.0,84d
